code,num
C1072,740.81
C1128,1266.2
C1456,469.34
C1840,604.28
C1332,983.3
C1563,1683.91
C1794,1130.01
C1640,435.34
C1377,441.56
C2072,298.47
C1472,444.89
C1006,495.54
C1083,407.21
C1311,279.26
C2676,413.97
C2318,321.97
C1603,387.98
C2523,261.23
C2177,216.56
C2411,949.08
C2033,290.18
C1604,449.6
C2535,497.69
C1040,536.13
C2417,362.97
C1812,157.04
C2253,165.07
C1294,456.48
C1772,491.6
C2646,557.24
C1152,987.12
C2423,140.55
C1844,504.37
C1318,233.75
C1729,118.87
C1602,268.94
C1239,478.65
C1721,502.63
C1902,727.77
C1855,272.22
C2600,500.91
C1071,416.14
C2295,385.84
C1621,523.98
C1852,737.15
C2555,1145.09
C1297,483.51
C2323,621.72
C2215,357.92
C2112,391.07
C1830,884.49
C2602,237.85
C2608,887.38
C1215,684.62
C2369,500.13
C1158,265.54
C1887,468.43
C1189,291.27
C1637,500.43
C1225,125.26
C2374,388.39
C2397,529.04
C1105,987.36
C1782,371.97
C1629,150.55
C1708,263.84
C2144,631.26
C1617,989.95
C1149,587.34
C1323,518.38
C1064,797.36
C1019,270.76
C2269,601.12
C1416,846.45
C1250,937.98
C1741,415.51
C1016,704.27
C2675,965.07
C2436,747.4
C2039,961.19
C1253,806.02
C2028,1106.42
C1166,281.0
C1135,270.99
C1216,281.97
C1593,229.64
C1826,260.5
C1827,367.03
C1564,270.07
C1495,956.77
C2653,802.35
C1392,688.14
C2128,277.85
C1282,634.16
C1521,1050.37
C2076,1064.41
C1060,637.07
C2473,1107.24
C2557,848.45
C1835,955.14
C2224,801.31
C2222,426.81
C2430,686.66
C2497,595.25
C1494,808.82
C1457,684.8
C1525,1069.09
C1712,559.39
C2267,850.22
C1623,277.18
C2131,432.88
C2691,935.64
C1147,957.48
C1692,1028.83
C1570,740.57
C1474,114.48
C1633,156.34
C2113,609.26
C2175,700.42
C2303,1185.01
C2547,648.49
C2292,921.55
C1496,467.61
C1289,433.83
C1849,788.6
C1003,323.34
C2268,481.11
C2551,644.15
C2688,85.28
C1030,25.29
C1327,92.04
C2451,476.36
C1749,705.44
C1349,316.29
C2043,290.39
C1229,280.91
C2363,493.7
C1414,504.39
C2174,522.87
C2091,130.59
C2335,665.41
C1841,57.8
C2404,97.54
C1683,296.4
C1038,462.95
C2456,294.26
C1266,506.37
C2152,42.84
C1267,506.75
C2189,259.44
